asset_id,image_index,heading,pitch,altitude,captured_at,image_key,h3_index,camera_position,footprint,category
4172198,23,359.6,-29.9,80.0,2024-04-15 15:20:50.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0028.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488628 49.863853,-119.48691 49.863861,-119.478125 49.87291,-119.497608 49.872823,-119.488628 49.863853))",Construction
4172198,24,179.0,-89.9,80.0,2024-04-15 15:21:52.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0029.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.48696 49.863816,-119.488632 49.863797,-119.488613 49.863044,-119.486938 49.863063,-119.48696 49.863816))",Construction
4172198,0,179.2,-59.9,80.0,2024-04-15 15:21:54.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0030.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487044 49.863408,-119.488528 49.863394,-119.48915 49.86228,-119.486374 49.862305,-119.487044 49.863408))",Construction
4172198,26,179.2,-29.9,80.0,2024-04-15 15:21:56.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0031.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.486918 49.863018,-119.488636 49.863002,-119.497323 49.853914,-119.477841 49.854089,-119.486918 49.863018))",Construction
4172198,18,225.2,-29.9,80.0,2024-04-15 15:21:58.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0032.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487644 49.862742,-119.488855 49.863528,-119.505031 49.861242,-119.491302 49.85233,-119.487644 49.862742))",Construction
4172198,20,225.0,-60.0,80.0,2024-04-15 15:22:00.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0033.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487293 49.863072,-119.488342 49.863748,-119.490009 49.863259,-119.488051 49.861997,-119.487293 49.863072))",Construction
4172198,12,270.8,-60.0,80.0,2024-04-15 15:22:02.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0034.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.487843 49.862953,-119.487822 49.863909,-119.489528 49.864339,-119.489567 49.862554,-119.487843 49.862953))",Construction
4172198,13,270.7,-29.9,80.0,2024-04-15 15:22:04.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0035.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.48845 49.862883,-119.488429 49.86399,-119.502296 49.869826,-119.502534 49.857267,-119.48845 49.862883))",Construction
4172198,3,315.1,-59.9,80.0,2024-04-15 15:22:08.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0036.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488346 49.863117,-119.487295 49.863792,-119.488051 49.864871,-119.490018 49.863608,-119.488346 49.863117))",Construction
4172198,1,314.9,-30.0,80.0,2024-04-15 15:22:08.000000 +00:00,8912d1686cfffff/13609/8912d1686cfffff_13609_0037.jpg,8912d1686cfffff,POINT(-119.487785764 49.863432236),"POLYGON((-119.488856 49.863338,-119.487644 49.864122,-119.491274 49.874538,-119.505027 49.865641,-119.488856 49.863338))",Construction
